2026-07-02 04:09:48
20260702 043648.550 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260702 043648.554 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260702 043648.554 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260702 043648.554 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260702 043648.554 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260702 043648.554 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260702 043648.554 INFO             PET0 Running with ESMF Version   : develop+g97275e0470
20260702 043648.554 INFO             PET0 ESMF library build date/time: "Jul  2 2026" "04:08:40"
20260702 043648.554 INFO             PET0 ESMF library build location : /usr/local/esmf/esmf-testing/gfortran_14.2.0_mpich_O_develop/esmf
20260702 043648.554 INFO             PET0 ESMF_COMM                   : mpich
20260702 043648.554 INFO             PET0 ESMF_MOAB                   : enabled
20260702 043648.554 INFO             PET0 ESMF_LAPACK                 : enabled
20260702 043648.554 INFO             PET0 ESMF_NETCDF                 : enabled
20260702 043648.554 INFO             PET0 ESMF_PNETCDF                : disabled
20260702 043648.554 INFO             PET0 ESMF_PIO                    : enabled
20260702 043648.554 INFO             PET0 ESMF_YAMLCPP                : enabled
20260702 043648.555 INFO             PET0 mainApp STARTING
20260702 043648.561 INFO             PET0 advection diffusion driver: InitializeGeneric intro.
20260702 043648.561 INFO             PET0   advection diffusion driver: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260702 043648.561 INFO             PET0   advection diffusion driver: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260702 043648.561 INFO             PET0   advection diffusion driver: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260702 043648.561 INFO             PET0   advection diffusion driver: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260702 043648.561 INFO             PET0   advection diffusion driver: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260702 043648.561 INFO             PET0   advection diffusion driver: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260702 043648.561 INFO             PET0   >>>advection diffusion driver: entered Initialize (phase=<none>) without valid internal Clock.
20260702 043648.561 INFO             PET0   advection diffusion driver: InitializeP0 intro.
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260702 043648.561 INFO             PET0     >>>advection diffusion driver: entered Initialize (phase=<none>) without valid internal Clock.
20260702 043648.561 INFO             PET0     <<<advection diffusion driver: leaving Initialize (phase=<none>) without valid internal Clock.
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260702 043648.561 INFO             PET0     advection diffusion driver: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
